MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
Liander N.V.,Liander N.V. (NW),,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,1.0,0.9582999999999999,1.0,0.5,1x35,3241,0.5,0.4167,1.2
Liander N.V.,GAS Liander,,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,GAS,KVB,22,1.0,0.9091,1.0,0.91,G4,2058,0.0,0.4545,
Liander N.V.,Liander N.V. (NW),,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,30,0.9333,0.7667,1.0,0.6,3x25,3349,0.4667,0.4667,1.1
,GAS Liander,,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,GAS,KVB,20,1.0,0.95,1.0,0.9,G4,1891,0.0,0.65,
Liander N.V.,Liander N.V. (NW),,Binnenkant AB,1011BE,1011BG,AMSTERDAM,NL,ELK,KVB,30,1.0,0.7,1.0,0.47,1x35,2712,0.2,0.1,1.2
,GAS Liander,,Binnenkant AB,1011BE,1011BG,AMSTERDAM,NL,GAS,KVB,16,1.0,0.9375,1.0,0.88,G4,2022,0.0,0.125,
Liander N.V.,Liander N.V. (NW),,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,34,1.0,0.9412,1.0,0.5,1x35,3105,0.5294,0.5,1.1
,GAS Liander,,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,GAS,KVB,31,1.0,0.9355,1.0,0.84,G4,1854,0.0,0.4839,
,Liander N.V. (NW),,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,1.0,0.9091,1.0,0.45,3x25,5658,0.3182,0.1364,1.2
,GAS Liander,,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,GAS,KVB,16,1.0,1.0,1.0,0.69,G4,2629,0.0,0.25,
,Liander N.V. (NW),,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,1.0,1.0,1.0,0.5,1x35,2159,0.125,0.125,1
