volgnr,lat,lon,label
5,52.395223,4.764069,6
45,52.368435,4.937937,2
46,52.389606,4.790384,16
67,52.395637,4.764166,7
73,52.356479,4.959137,6
84,52.323936,4.942274,48
91,52.400047,4.908672,21
103,52.402702,4.905146,3
141,52.371628,4.868157,18
160,52.367039,4.937144,3
167,52.343199,4.917237,72
178,52.347922,4.953966,8
205,52.356268,4.773922,10
237,52.393343,4.854035,75
258,52.354113,4.80275,7
273,52.351522,4.869933,9
290,52.395466,4.764081,6
293,52.33981,4.926385,1
305,52.390687,4.78727,7
330,52.395145,4.873582,5
393,52.299224,4.965435,20
402,52.383042,4.851867,18
406,52.396642,4.786587,488
407,52.319377,4.987111,30
409,52.395635,4.763799,7
444,52.34106,4.845637,10
450,52.360842,4.789728,17
462,52.395464,4.763801,4
482,52.379378,4.858505,11
502,52.390568,4.852628,57
515,52.31642,4.956384,5
533,52.339774,4.926268,13
542,52.395392,4.763788,6
553,52.326567,4.87502,14
560,52.360609,4.843931,2
578,52.390866,4.939855,2
585,52.394982,4.76444,3
597,52.374372,4.86065,18
614,52.374765,4.93153,6
631,52.419065,4.902146,22
638,52.350903,4.870292,15
645,52.34821,4.946625,14
674,52.29889,4.965057,6
684,52.359359,4.991199,3
734,52.386184,4.928093,1
735,52.294385,4.987717,52
762,52.390377,4.887196,87
773,52.381908,4.908206,6
785,52.390599,4.938095,1
819,52.324869,4.981796,31
824,52.395638,4.764343,7
826,52.379395,4.860297,49
840,52.340778,4.861004,2
845,52.404694,4.922479,140
857,52.418219,4.904213,6
897,52.395466,4.764169,5
928,52.36976,4.800841,5
933,52.32286,4.959974,38
941,52.414087,4.887282,3
1003,52.401262,4.920458,25
1032,52.395637,4.764254,7
1038,52.400249,4.831383,36
1048,52.395394,4.76417,7
1093,52.346423,4.845073,6
1106,52.333836,4.830702,7
1117,52.395149,4.763791,6
1121,52.35915,4.940013,8
1127,52.373677,4.933699,5
1131,52.364976,4.861584,17
1148,52.418904,4.90253,23
1170,52.395636,4.764078,4
1225,52.339318,4.93157,24
1235,52.381935,4.908235,4
1251,52.401087,4.933155,7
1268,52.391129,4.841677,14
1270,52.39515,4.763894,7
1296,52.419831,4.891921,17
1300,52.294349,4.977134,42
1327,52.337694,4.927508,8
1343,52.395151,4.76407,7
1346,52.332656,4.914958,2
1356,52.415917,4.871813,200
1361,52.385812,4.927303,15
1366,52.386219,4.928004,5
1373,52.35198,4.935917,3
1374,52.395393,4.763979,7
1379,52.359469,4.815569,9
1387,52.322192,4.942306,3
1413,52.416981,4.90477,20
1418,52.381422,4.867631,10
1432,52.403069,4.961098,44
1451,52.308713,4.98033,67
1489,52.383461,4.859118,6
1492,52.351072,4.869733,8
1500,52.356413,4.978616,19
1518,52.39498,4.763985,5
1541,52.410795,4.922018,17
1566,52.367988,4.836118,2
1579,52.357787,4.931454,52
1581,52.334714,4.851495,1
1591,52.38979,4.77531,10
1615,52.352821,4.898745,34
1628,52.347237,4.806466,2
1644,52.384329,4.866407,85
1648,52.394981,4.764161,5
1671,52.395636,4.763975,7
1672,52.390401,4.938112,2
1691,52.382018,4.870209,4
1704,52.395638,4.764445,6
1718,52.395393,4.763891,7
1720,52.385038,4.929265,38
1739,52.395151,4.764173,7
1740,52.360523,4.837003,6
1741,52.410404,4.881504,16
1781,52.391292,4.933622,1
1804,52.383682,4.834733,0
1806,52.36064,4.836958,7
1813,52.373406,4.942806,12
1816,52.3811,4.912827,6
1858,52.34483,4.833059,10
1885,52.380346,4.840135,31
1901,52.394979,4.763794,5
1903,52.335175,4.828792,5
1904,52.305763,4.935095,15
1905,52.358977,4.907294,13
1953,52.395222,4.763981,6
1964,52.393968,4.851295,151
2055,52.341852,4.836251,7
2071,52.352301,4.831601,4
2083,52.389744,4.775149,20
2093,52.350594,4.841324,22
2096,52.371081,4.836388,22
2128,52.381462,4.913616,17
2140,52.332857,4.915689,4
2148,52.391309,4.933416,8
2157,52.395635,4.763887,9
2190,52.394979,4.763882,5
2202,52.346117,4.946983,6
2213,52.3016,4.976613,8
2220,52.387868,4.863942,2
2225,52.355699,4.820388,2
2245,52.395394,4.764067,4
2270,52.40272,4.905175,1
2272,52.394981,4.764264,6
2284,52.354629,4.877647,6
2287,52.382864,4.802695,70
2289,52.349941,4.91765,20
2303,52.394217,4.909381,1
2305,52.395223,4.764172,5
2308,52.39498,4.764073,5
2348,52.339692,4.926034,7
2357,52.374835,4.931118,11
2361,52.40807,4.855357,18
2364,52.395221,4.76379,5
2373,52.356061,4.76704,11
2376,52.395465,4.763978,6
2407,52.334072,4.885497,72
2435,52.30045,4.96922,56
2440,52.386131,4.901301,10
2453,52.39515,4.763982,7
2460,52.409477,4.802844,1
2467,52.395465,4.76389,5
2481,52.377835,4.849272,15
2505,52.383637,4.864418,4
2508,52.296854,4.984499,23
2511,52.383458,4.864494,4
2540,52.364553,4.865523,19
2562,52.343607,4.900401,19
2568,52.350339,4.832946,12
2578,52.341761,4.86381,27
2590,52.416895,4.805378,26
2605,52.395222,4.763893,5
2606,52.347372,4.817559,2
2615,52.392299,4.994093,18
2618,52.349146,4.875391,2
2640,52.394982,4.764352,5
2645,52.308637,4.979187,39
2690,52.394962,4.898207,4
2698,52.358876,4.911244,4
2713,52.330037,4.812456,6
2718,52.35443,4.925647,4
2754,52.392965,4.854054,4
2755,52.384915,4.877182,21
2760,52.360382,4.969948,4
2769,52.3443,4.817965,2
2786,52.329766,4.812151,6
2795,52.329633,4.812446,7
2803,52.329712,4.812108,4
2843,52.32989,4.811724,7
2862,52.329849,4.812678,9
2864,52.390078,4.865811,4
2887,52.380881,4.974426,12
2889,52.351214,4.896928,20
2898,52.357658,4.930501,15
2923,52.357692,4.873046,5
2950,52.352567,4.89361,4
2959,52.358795,4.856211,14
2971,52.329676,4.812064,5
3014,52.347669,4.864489,32
3015,52.359073,4.95575,19
3016,52.377855,4.876073,9
3023,52.329569,4.812374,6
3032,52.360368,4.860185,5
3035,52.330219,4.811118,4
3043,52.329705,4.812519,6
3050,52.344584,4.838052,6
3058,52.329856,4.812267,4
3060,52.381891,4.869932,4
3065,52.369352,4.871737,7
3067,52.353221,4.897669,8
3091,52.329777,4.812606,10
3105,52.35823,4.874934,1
3109,52.329922,4.812765,9
3115,52.416054,4.897916,1
3121,52.329965,4.812383,3
3176,52.366951,4.928262,8
3189,52.371332,4.908908,4
3198,52.375042,4.897296,8
3215,52.374401,4.89234,8
3224,52.36522,4.886922,3
3238,52.371482,4.921696,7
3263,52.364245,4.905343,3
3279,52.378057,4.765823,5
3281,52.348392,4.809166,1
3287,52.401075,4.898625,25
3288,52.380965,4.867872,16
3291,52.370224,4.84559,16
3296,52.369339,4.862633,3
3297,52.382316,4.866534,42
3299,52.361545,4.768946,16
3300,52.379594,4.860574,4
3302,52.388805,4.902535,2
3303,52.374036,4.770373,1
3319,52.350125,4.778234,4
3320,52.391984,4.994023,17
3321,52.328731,4.880833,24
3324,52.30872,4.952075,99
3332,52.355242,4.766773,11
3333,52.388814,4.902579,1
3336,52.329407,4.860479,122
3353,52.357673,4.87287,4
3366,52.355273,4.885375,22
3382,52.348769,4.831674,2
3394,52.342254,4.85139,47
3398,52.38559,4.927849,2
3410,52.346758,4.955166,6
3411,52.292142,4.948323,1
3422,52.397266,4.873572,15
3423,52.301643,4.936545,25
3428,52.410322,4.883239,9
3447,52.400045,4.876082,5
3465,52.398027,4.918391,101
3466,52.419702,4.786069,1
3481,52.367338,4.869426,29
3484,52.381188,4.83942,130
3488,52.33719,4.89381,4
3509,52.348435,4.866887,14
3511,52.393635,4.909975,2
3512,52.39341,4.909933,4
3513,52.39351,4.910167,3
3514,52.393366,4.91011,4
3515,52.393609,4.910328,2
3516,52.39352,4.91052,2
3517,52.393448,4.910388,3
3518,52.393367,4.91036,4
3519,52.393171,4.910759,4
3520,52.393504,4.910902,4
3521,52.393594,4.911092,7
3522,52.343078,4.842795,126
3536,52.372142,4.904641,4
3540,52.361602,4.932531,10
3544,52.367537,4.875942,17
3552,52.394748,4.87726,2
3558,52.39513,4.878343,1
3571,52.391956,4.903794,58
3599,52.307375,4.972865,10
3600,52.406594,4.916478,78
3601,52.379246,4.785633,11
3602,52.383091,4.907342,1
3606,52.30116,4.937165,43
3607,52.373828,4.845532,7
3633,52.392704,4.878576,122
