volgnr,lat,lon,kwp
207,52.416367,4.905997,2258
208,52.349531,4.913692,7440
209,52.400945,4.912718,2258
210,52.347923,4.953966,7680
211,52.41042,4.902226,2258
212,52.364462,4.942279,480
213,52.32045,4.961977,2258
214,52.361022,4.82446,2258
215,52.343729,4.801918,2258
216,52.349793,4.879273,2258
217,52.324728,4.985098,2258
218,52.365021,4.835655,11520
219,52.374112,4.82146,2258
220,52.352173,4.808397,2258
221,52.350308,4.816802,2258
222,52.323908,4.984474,2258
223,52.364138,4.942209,960
224,52.339793,4.917053,3840
225,52.347817,4.79438,4320
226,52.357394,4.895891,1200
227,52.374617,4.821865,2258
228,52.423118,4.899749,2258
229,52.300406,4.992618,2258
230,52.352324,4.779319,1920
231,52.346927,4.808921,2258
232,52.353837,4.941887,1440
233,52.410234,4.903021,2258
234,52.407018,4.930464,2258
235,52.401894,4.918732,2258
236,52.289496,4.97712,1920
237,52.350776,4.80573,2258
238,52.389189,4.908304,10560
239,52.407422,4.912149,11280
240,52.410482,4.906531,13440
241,52.377583,4.766226,2258
242,52.356269,4.773922,9600
243,52.345775,4.875077,2258
244,52.319343,4.966549,2258
245,52.389767,4.9437,2258
246,52.321471,4.943707,3360
247,52.360289,4.981443,2258
248,52.351412,4.861098,2880
249,52.375981,4.830967,2258
250,52.358444,4.924504,4320
251,52.359136,4.99148,4320
252,52.361754,4.929652,1440
253,52.343411,4.948859,2258
254,52.353098,4.81568,2258
255,52.360142,4.85182,1
256,52.410122,4.902023,2258
257,52.409472,4.930644,2258
258,52.358376,4.854733,7680
259,52.347785,4.889143,1440
260,52.417151,4.897698,2258
261,52.349757,4.879449,2258
262,52.348914,4.782022,2258
263,52.34564,4.81786,2258
264,52.348321,4.91008,1440
265,52.390438,4.820503,0
266,52.367853,4.832082,2258
267,52.368154,4.831065,2258
268,52.348041,4.819942,2880
269,52.300383,4.996445,2258
270,52.339188,4.898777,2258
271,52.382333,4.870103,960
272,52.320245,4.985446,2258
273,52.346673,5.008938,4320
274,52.350723,4.895363,1920
275,52.353835,4.941167,2258
276,52.353605,4.778553,2258
277,52.325438,4.982363,2258
278,52.350668,4.855559,2400
279,52.407093,4.929037,2258
280,52.308696,4.962398,2258
281,52.346557,4.801382,2258
282,52.393344,4.854035,74880
283,52.37421,4.946264,2258
284,52.346489,4.861597,1920
285,52.323399,4.964633,2258
286,52.38824,4.883063,33600
287,52.301095,4.991615,2258
288,52.353286,4.788215,2258
289,52.421704,4.903499,2258
290,52.351959,4.995434,2258
291,52.378652,4.792279,2258
