MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,"Aantal Aansluitingen",%Leveringsrichting,"%Fysieke status","%Defintieve aansl (NRM)","%Soort aansluiting","Soort aansluiting Naam",SJV,"%SJV laag tarief","%Slimme Meter","Gemiddeld aantal telwielen"
,"GAS Liander",,"Binnenkant AB",1011BE,1011BG,AMSTERDAM,NL,GAS,KVB,16,100,93.75,100,88,G4,2039,0,12.5,
"Liander N.V.","Liander N.V. (NW)",,"Binnenkant AB",1011BE,1011BG,AMSTERDAM,NL,ELK,KVB,28,100,71.43,100,50,1x35,2068,14.29,7.14,1.2
,"GAS Liander",,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,GAS,KVB,31,100,93.55,100,84,G4,1740,0,48.39,
"Liander N.V.","Liander N.V. (NW)",,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,34,100,94.12,100,50,1x35,2867,52.94,50,1.1
,"Liander N.V. (NW)",,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,22,100,90.91,100,45,3x25,5646,31.82,13.64,1.2
,"GAS Liander",,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,GAS,KVB,16,100,100,100,69,G4,3494,0,25,
,"Liander N.V. (NW)",,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,1x35,2307,12.5,12.5,1
,"GAS Liander",,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,GAS,KVB,14,100,92.86,100,86,G4,1505,0,14.29,
,"GAS Liander",,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,GAS,KVB,20,100,100,100,85,G4,1335,0,20,
,"Liander N.V. (NW)",,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,95.65,100,87,1x35,2004,30.43,21.74,1.2
"Liander N.V.","Liander N.V. (NW)",,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43,100,67,3x25,3051,19.05,19.05,1
,"GAS Liander",,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,GAS,KVB,15,100,86.67,100,73,G4,1495,0,26.67,
"Liander N.V.","GAS Liander",,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,GAS,KVB,15,100,93.33,100,87,G4,2465,0,6.67,
"Liander N.V.","Liander N.V. (NW)",,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,78,3x25,2845,16.67,5.56,1.4
