MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,,longitude,latitude
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2298,20,0,1.9,52.37262875,4.906249579
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,26,100,76.92,100,62,3x25,2710,7.69,0,1.7,52.37505515,4.902747641
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,100,93.55,100,52,3x25,2634,3.23,0,2,52.37461522,4.902534889
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,20,100,80,100,50,3x25,2882,0,0,1.1,52.37423873,4.90250337
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,100,100,55,3x25,2845,6.06,0,1.5,52.37385739,4.902743391
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,1x25,1725,0,0,1,52.37335915,4.903098287
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,54,1x25,3934,7.14,0,1.9,52.37315656,4.903483163
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,100,56.76,100,97,3x25,1834,0,0,2.5,52.37293756,4.903857287
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CB,1011CB,AMSTERDAM,NL,ELK,KVB,23,100,86.96,100,57,1x25,2618,0,0,1.7,52.37265763,4.904363975
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CC,1011CC,AMSTERDAM,NL,ELK,KVB,20,100,100,100,60,1x25,2586,5,0,1.2,52.37247242,4.904705504
