buurtcombinatie,postcode_min,postcode_max
F83,1069ZR,1069ZR
F84,1060LP,1060LZ
F84,1060MB,1060ML
F84,1060MN,1060MV
F84,1060MX,1060MZ
F84,1060NB,1060TZ
F84,1066ER,1066ER
F84,1069LL,1069LL
F84,1069LN,1069LN
F84,1069LR,1069LW
F84,1069MC,1069ML
F84,1069MN,1069MN
F84,1069NB,1069PB
F84,1069PD,1069PX
F85,1062HD,1062HD
F85,1064NS,1064NZ
F85,1064PK,1064PR
F85,1064WB,1064WJ
F85,1064WN,1064WV
F85,1064WX,1064WZ
F85,1065AA,1065CJ
F85,1065DA,1065DA
F85,1065HT,1065HZ
F85,1065JB,1065JH
F85,1065JR,1065KG
F85,1065RA,1065RA
F85,1065TV,1065VD
F85,1065VG,1065VZ
F85,1065XA,1065XZ
F86,1057BW,1057BW
F86,1057NG,1057NV
F86,1057NX,1057PH
F86,1058EA,1058ET
F86,1061AA,1061AZ
F86,1061SB,1061SE
F86,1061SR,1061ST
F86,1061SW,1061TA
F86,1061TC,1061VC
F86,1061VG,1061VH
F86,1061VK,1061VL
F86,1061VP,1061VZ
F86,1061WB,1061WB
F86,1061XA,1061XZ
F86,1062AA,1062CC
F86,1062CG,1062CG
F86,1062CJ,1062DN
F86,1062DR,1062DR
F86,1062JN,1062JX
F87,1058GA,1058GD
F87,1058LV,1058LV
F87,1058LX,1058LZ
F87,1058NP,1058NP
F87,1059EP,1059GL
F87,1059TT,1059VM
F87,1059WB,1059WE
F87,1062EA,1062EG
F87,1062EP,1062ES
F87,1062EV,1062EV
F87,1062GA,1062GA
F87,1062GD,1062HZ
F87,1062JB,1062JB
F87,1062KA,1062KM
F87,1062KR,1062LC
F87,1062XA,1062ZA
F88,1066BS,1066DA
F88,1066DC,1066DJ
F88,1066DZ,1066DZ
F88,1066EC,1066EC
F88,1066EE,1066EW
F88,1066EZ,1066GB
F88,1066GD,1066KN
F88,1066KR,1066LG
F88,1066LK,1066LL
F88,1066LN,1066LP
F88,1066LS,1066ML
F88,1066MN,1066MV
F88,1066MX,1066PE
F88,1066PJ,1066RD
F88,1066SB,1066TC
F88,1066TE,1066TM
F88,1066VH,1066VH
F88,1066WB,1066WE
F88,1066WH,1066WL
F88,1066WN,1066WV
F88,1066WX,1066WZ
F89,1062HD,1062HD
F89,1065CK,1065CZ
F89,1065DB,1065DC
F89,1065DZ,1065GJ
F89,1065GN,1065HS
F89,1065JA,1065JA
F89,1065JJ,1065JJ
F89,1065JM,1065JP
F89,1065KH,1065LH
F89,1065LK,1065LZ
F89,1065MB,1065MB
F89,1065NK,1065NS
F89,1065SH,1065TT
F89,1066AA,1066AZ
F89,1066BB,1066BH
F89,1066BM,1066BR
F89,1066CX,1066CX
F89,1066DM,1066DX
F89,1066EA,1066EA
F89,1066EC,1066EC
F89,1066TW,1066TZ
F89,1066VB,1066VE
F89,1066VH,1066VH
F89,1066VW,1066VZ
F89,1066XA,1066XZ
K23,1076AV,1076AV
K23,1076CR,1076CR
K23,1076EC,1076EE
K23,1077DG,1077DG
K23,1077WM,1077WM
K23,1077WT,1077WW
K23,1077WZ,1077WZ
K23,1077XV,1077XZ
K23,1077ZX,1077ZZ
K23,1078GZ,1078GZ
K23,1078KK,1078KK
K23,1078RV,1078RV
K23,1081BT,1081BT
K23,1081HV,1081HV
K23,1081HX,1081HZ
K23,1081JC,1081JD
K23,1081LA,1081LC
K23,1082LS,1082LS
K23,1082LZ,1082MA
K23,1082MC,1082MG
K23,1082MJ,1082MK
K23,1082MM,1082MM
K23,1082MP,1082MV
K23,1082MX,1082MZ
K23,1082PP,1082PR
K23,1083AD,1083AD
K23,1083HJ,1083HJ
K23,1083HM,1083HP
K24,1072AA,1072AT
K24,1072BB,1072CZ
K24,1072EA,1072GB
K24,1072HL,1072HL
K24,1072HR,1072HR
K24,1072LA,1072LE
K24,1072LJ,1072LR
K24,1072LZ,1072LZ
K24,1072MB,1072MB
K24,1072MH,1072MH
K24,1072MK,1072ML
K24,1072MN,1072MN
K24,1072NA,1072NV
K24,1072NX,1072PB
K24,1072TJ,1072VZ
K24,1072XA,1072ZA
K24,1073AA,1073AD
K24,1073AT,1073CX
K24,1073EJ,1073EK
K24,1073LL,1073LP
K24,1073VE,1073VZ
K24,1073XA,1073XZ
K24,1074AA,1074AD
K24,1074AV,1074BC
K24,1074BE,1074BT
K24,1074CA,1074CZ
K24,1074HP,1074HT
K24,1074JH,1074JH
K24,1074XN,1074XZ
K25,1072AV,1072AZ
K25,1072DA,1072DA
K25,1072GC,1072HK
K25,1072HM,1072HP
K25,1072HS,1072HV
K25,1072JA,1072KA
K25,1072KD,1072KK
K25,1072KN,1072KP
K25,1072KV,1072KZ
K25,1072LG,1072LH
K25,1072LS,1072LW
K25,1072MA,1072MA
K25,1072ME,1072MG
K25,1072PC,1072PJ
K25,1072PL,1072PN
K25,1072RA,1072RG
K25,1072RS,1072RX
K25,1072SB,1072TH
K25,1073AE,1073AE
K25,1073AR,1073AR
K25,1073CZ,1073CZ
K25,1073EA,1073EH
K25,1073EL,1073GM
K25,1073LR,1073LW
K25,1073RP,1073RZ
K25,1073SG,1073SW
K25,1073TB,1073TB
K25,1073TG,1073VD
K25,1074AE,1074AK
K25,1074DA,1074DB
K25,1074EA,1074EZ
K25,1074HV,1074HZ
K25,1074JH,1074JM
K25,1074VG,1074VJ
K25,1074VP,1074VZ
K25,1074XA,1074XM
K26,1073AG,1073AP
K26,1073AS,1073AS
K26,1073GN,1073JX
K26,1073KA,1073KD
K26,1073KG,1073LK
K26,1073LX,1073LZ
K26,1073NA,1073ND
K26,1073PW,1073RR
K26,1073SB,1073SE
K26,1073SW,1073SZ
K26,1073TC,1073TE
K26,1074AL,1074AT
K26,1074BD,1074BD
K26,1074GA,1074GA
K26,1074GC,1074GD
K26,1074GG,1074GS
K26,1074GX,1074HN
K26,1074HZ,1074JH
K26,1074SP,1074TC
K26,1074TK,1074VE
K26,1074VK,1074VN
K44,1058GH,1058GJ
K44,1058GL,1058GN
K44,1058HD,1058LT
K44,1058NA,1058NP
K44,1058PB,1058PD
K44,1058SB,1058VC
K44,1059AA,1059CZ
K44,1059EA,1059EN
K44,1059SP,1059TS
K44,1059VN,1059VZ
K44,1059XA,1059XZ
K45,1075KA,1075KA
K45,1075KH,1075KH
K45,1075KV,1075LC
K45,1075PR,1075PR
K45,1075RJ,1075RJ
K45,1075RM,1075TZ
K45,1075VB,1075VP
K45,1075VS,1075VS
K45,1075XH,1075XZ
K46,1071MG,1071MG
K46,1071NP,1071NP
K46,1075AA,1075CZ
K46,1075EA,1075HW
K46,1075KJ,1075KL
K46,1075NB,1075NE
K46,1075NL,1075NT
K46,1075NX,1075NX
K46,1075PA,1075PE
K46,1075PJ,1075PP
K46,1075PS,1075RH
K46,1075VR,1075VR
K46,1075VT,1075VZ
K46,1075XA,1075XA
K47,1071AA,1071ML
K47,1071MN,1071MV
K47,1071MX,1071NV
K47,1071NX,1071SZ
K47,1071TC,1071VZ
K47,1071WB,1071WL
K47,1071WN,1071WV
K47,1071WX,1071ZZ
K48,1075KM,1075KN
K48,1075KT,1075KT
K48,1075LD,1075LZ
K48,1075NG,1075NK
K48,1075NT,1075NV
K48,1075NZ,1075NZ
K48,1075PG,1075PH
K48,1075XA,1075XG
K48,1076AA,1076AS
K48,1076BJ,1076CK
K48,1076CM,1076CW
K48,1076CZ,1076CZ
K48,1076DE,1076DE
K48,1076DK,1076DZ
K48,1076EL,1076EL
K48,1076EP,1076EX
K48,1076GR,1076GW
K48,1076HR,1076JV
K48,1076KJ,1076LZ
K48,1076NA,1076NH
K48,1076NM,1076NV
K48,1076NX,1076VZ
K48,1076XA,1076XZ
K48,1077CL,1077CL
K49,1077AA,1077CX
K49,1077DA,1077DD
K49,1077DH,1077HZ
K49,1077JG,1077JW
K49,1077KA,1077KJ
K49,1077LB,1077ML
K49,1077MN,1077MV
K49,1077MX,1077NT
K49,1077NX,1077PL
K49,1077PN,1077VZ
K49,1077WB,1077WL
K49,1077WN,1077WS
K49,1077ZA,1077ZW
K52,1078AP,1078BG
K52,1078BP,1078BR
K52,1078BV,1078BX
K52,1078DB,1078ED
K52,1078EP,1078GZ
K52,1078HC,1078ML
K52,1078MN,1078MV
K52,1078MX,1078PD
K52,1078PH,1078PH
K52,1078RD,1078RD
K52,1078VG,1078VZ
K52,1078XA,1078XZ
K52,1079AA,1079BE
K52,1079BK,1079BM
K52,1079CH,1079CJ
K52,1079CP,1079DE
K52,1079DP,1079DS
K52,1079EA,1079EC
K52,1079EL,1079EM
K52,1079ET,1079GB
K52,1079GH,1079GK
K52,1079GT,1079GV
K52,1079HJ,1079HR
K52,1079KJ,1079KM
K52,1079MC,1079ML
K52,1079MN,1079MV
K52,1079MX,1079MZ
K52,1079NS,1079NV
K52,1079NX,1079NX
K52,1079PA,1079RH
K52,1079RK,1079RK
K52,1079RM,1079RW
K52,1079TW,1079TW
