buurtcombinatie,postcode_min,postcode_max
E13,1014BX,1014BX
E13,1014DA,1014DD
E14,1051AA,1051AC
E14,1051AK,1051AP
E14,1051AS,1051BE
E14,1051BH,1051CE
E14,1051CJ,1051DA
E14,1051DC,1051DC
E14,1051EA,1051HS
E14,1051HV,1051KD
E14,1051KG,1051KJ
E14,1051KN,1051LE
E14,1051MA,1051MH
E14,1051ML,1051ML
E14,1051RE,1051RL
E14,1051TG,1051VZ
E14,1051XA,1051XA
E14,1051XC,1051XW
E14,1051XZ,1051XZ
E14,1052AA,1052BP
E14,1052BW,1052CC
E14,1052CE,1052CM
E14,1052DC,1052DG
E15,1051BX,1051BX
E15,1051CE,1051CH
E15,1051DB,1051DB
E15,1051DD,1051DG
E15,1051HH,1051HH
E15,1051KE,1051KE
E15,1051KM,1051KM
E15,1051LG,1051LK
E15,1051LM,1051MA
E15,1051MJ,1051MK
E15,1051NA,1051NL
E15,1051NN,1051NN
E15,1051NV,1051PZ
E15,1054LH,1054LH
E16,1015ZE,1015ZG
E16,1052BR,1052BV
E16,1052CN,1052DA
E16,1052EA,1052ED
E16,1052EL,1052GX
E16,1052HA,1052KX
E16,1052LA,1052LM
E16,1052LP,1052LX
E16,1052MA,1052MA
E16,1052SL,1052SX
E16,1052TB,1052TD
E16,1052TJ,1052VZ
E16,1052WB,1052WL
E16,1052WN,1052WT
E16,1052XA,1052XT
E16,1052XW,1052XZ
E17,1052EE,1052EJ
E17,1052LN,1052LN
E17,1052MZ,1052NK
E17,1052RS,1052RS
E17,1052RZ,1052SJ
E17,1053AA,1053AE
E17,1053DT,1053EC
E17,1053KK,1053KP
E17,1053KV,1053LC
E17,1053LH,1053LT
E17,1053TZ,1053VB
E17,1053VH,1053VJ
E17,1053WG,1053WL
E17,1053WN,1053WV
E17,1053XB,1053XE
E17,1053XP,1053ZH
E17,1053ZN,1053ZP
E17,1053ZV,1053ZZ
E18,1052NL,1052NP
E18,1052RH,1052RL
E18,1052RN,1052RR
E18,1052RT,1052RW
E18,1053AE,1053BZ
E18,1053CC,1053CC
E18,1053CE,1053CG
E18,1053CL,1053DA
E18,1053ED,1053EN
E18,1053GA,1053GK
E18,1053GP,1053GP
E18,1053GW,1053GW
E18,1053RJ,1053RJ
E18,1053RM,1053RT
E18,1053RW,1053RW
E18,1053SB,1053SC
E18,1053SJ,1053TJ
E18,1053TM,1053TX
E18,1053VC,1053VG
E18,1053VN,1053VN
E18,1053WC,1053WE
E18,1053XL,1053XL
E19,1053CC,1053CD
E19,1053CH,1053CH
E19,1053CK,1053CK
E19,1053DB,1053DS
E19,1053EP,1053EX
E19,1053GM,1053GN
E19,1053GR,1053GV
E19,1053GX,1053GX
E19,1053HA,1053HW
E19,1053JB,1053JS
E19,1053JZ,1053KJ
E19,1053KR,1053KT
E19,1053LD,1053LG
E19,1053LV,1053MC
E19,1053MH,1053ML
E19,1053MN,1053MV
E19,1053MX,1053MZ
E19,1053NC,1053NP
E19,1053NT,1053NV
E19,1053NX,1053PH
E19,1053PK,1053RH
E19,1053RL,1053RL
E19,1053RP,1053RP
E19,1053RV,1053RZ
E19,1053SE,1053SH
E19,1053VK,1053VM
E19,1053VR,1053VX
E19,1053WB,1053WB
E19,1053WX,1053XA
E19,1053XE,1053XJ
E19,1053ZJ,1053ZM
E19,1053ZR,1053ZT
E20,1054AA,1054BT
E20,1054BW,1054BX
E20,1054CA,1054CR
E20,1054CT,1054CV
E20,1054CX,1054DX
E20,1054EG,1054EK
E20,1054HH,1054HR
E20,1054HX,1054JJ
E20,1054MD,1054MG
E20,1054MP,1054MV
E20,1054MX,1054MX
E20,1054NG,1054NN
E20,1054NZ,1054PA
E20,1054PD,1054PD
E20,1054PG,1054PJ
E20,1054PL,1054PS
E20,1054PV,1054PW
E20,1054RA,1054RD
E20,1054RH,1054RJ
E20,1054RL,1054RM
E20,1054RS,1054RZ
E20,1054SC,1054SM
E20,1054SP,1054SP
E20,1054VT,1054VW
E20,1054WH,1054WK
E20,1054WX,1054XA
E20,1054XH,1054XK
E20,1054XT,1054XV
E20,1054ZD,1054ZM
E21,1054DZ,1054EE
E21,1054EL,1054ER
E21,1054JM,1054LH
E21,1054LK,1054MC
E21,1054MH,1054ML
E21,1054MN,1054MN
E21,1054NA,1054NE
E21,1054SN,1054SN
E21,1054SX,1054VS
E21,1054VX,1054VZ
E21,1054WB,1054WG
E21,1054WL,1054WL
E21,1054WN,1054WV
E21,1054XA,1054XG
E21,1054XL,1054XS
E21,1054XW,1054ZC
E21,1054ZN,1054ZW
E21,1071AA,1071AA
E21,1075VS,1075VS
E22,1054BV,1054BV
E22,1054BZ,1054BZ
E22,1054CS,1054CS
E22,1054CW,1054CW
E22,1054ES,1054HG
E22,1054HS,1054HW
E22,1054JH,1054JL
E22,1054KA,1054KA
E22,1054LJ,1054LJ
E22,1071AA,1071AA
E36,1014AC,1014AK
E36,1014AM,1014AX
E36,1014BA,1014BB
E36,1014BE,1014BH
E36,1014BL,1014BL
E36,1014CB,1014CC
E36,1014CE,1014CE
E37,1051LH,1051LH
E37,1055CL,1055CM
E37,1055DK,1055DT
E37,1055EB,1055ET
E37,1055EW,1055GH
E37,1055GP,1055GS
E37,1055GW,1055ML
E37,1055MN,1055MV
E37,1055MX,1055RZ
E37,1055TK,1055VZ
E37,1055WB,1055WL
E37,1055WN,1055WV
E37,1055WX,1055ZZ
E37,1056CC,1056CG
E37,1056EM,1056ES
E37,1056GC,1056GH
E37,1056GX,1056HC
E37,1056HJ,1056HL
E37,1056HR,1056HS
E37,1056JM,1056JP
E37,1056LC,1056LD
E37,1056WV,1056WV
E37,1056WX,1056XZ
E38,1055AB,1055AB
E38,1055AD,1055AD
E38,1055AG,1055AG
E38,1055AJ,1055AK
E38,1055AM,1055DJ
E38,1055DT,1055EA
E38,1055GK,1055GP
E38,1055GT,1055GV
E38,1055SB,1055SB
E38,1055SN,1055TJ
E38,1056AX,1056BC
E38,1056CJ,1056CK
E38,1056CT,1056CZ
E38,1056DE,1056DK
E38,1056LE,1056LE
E38,1056NX,1056PD
E38,1056PN,1056PV
E38,1056RA,1056RE
E38,1056RK,1056RK
E39,1055AA,1055AA
E39,1055AD,1055AD
E39,1055RW,1055RW
E39,1055SC,1055SC
E39,1056AC,1056AW
E39,1056BD,1056BG
E39,1056LA,1056LA
E39,1061AZ,1061BR
E39,1061BT,1061CC
E39,1061CE,1061CS
E39,1061CV,1061DM
E39,1061DP,1061EG
E39,1061ER,1061HT
E39,1061HW,1061HX
E39,1061JB,1061JE
E39,1061MA,1061MK
E40,1056BH,1056BR
E40,1056EC,1056ED
E40,1056ET,1056GB
E40,1056GJ,1056GW
E40,1056HD,1056HH
E40,1056HM,1056HP
E40,1056HT,1056JL
E40,1056JR,1056KZ
E40,1056LB,1056LB
E40,1056LV,1056LV
E40,1056TH,1056VZ
E40,1056WB,1056WL
E40,1056WN,1056WT
E41,1056AA,1056AB
E41,1056BS,1056CB
E41,1056CH,1056CH
E41,1056CL,1056CS
E41,1056DA,1056DD
E41,1056DL,1056EB
E41,1056ED,1056EL
E41,1056ND,1056NW
E41,1056PE,1056PM
E41,1056PW,1056RA
E41,1056RG,1056TG
E42,1057AA,1057BK
E42,1057BN,1057CK
E42,1057CM,1057DZ
E42,1057EB,1057EW
E42,1057KE,1057KG
E42,1057KN,1057KP
E42,1057PV,1057VZ
E42,1057WB,1057WL
E42,1057WN,1057WV
E42,1057WX,1057XA
E43,1058AA,1058DX
E43,1058GK,1058GK
E43,1058GP,1058HC
E43,1058VD,1058VZ
E43,1058XA,1058XZ
E75,1057BL,1057BM
E75,1057DT,1057DT
E75,1057EA,1057EA
E75,1057EX,1057KD
E75,1057KH,1057KH
E75,1057NE,1057NE
E75,1057PJ,1057PT
E75,1057XB,1057ZZ
F11,1043AA,1043AA
F11,1043AC,1043AJ
F11,1043AN,1043AR
F11,1043AX,1043AX
F11,1043BA,1043BM
F11,1043BP,1043BP
F11,1043BS,1043BS
F11,1043BW,1043CB
F11,1043CE,1043CE
F11,1043CH,1043CH
F11,1043CM,1043CM
F11,1043CP,1043CR
F11,1043CT,1043CT
F11,1043DE,1043DL
F11,1043DP,1043DW
F11,1043DZ,1043EC
F11,1043EH,1043EJ
F11,1043EW,1043EZ
F11,1043GK,1043GR
F11,1043GV,1043GW
F11,1043HP,1043HS
F11,1043NT,1043NV
F11,1043NX,1043NZ
F11,1046AA,1046AW
F11,1046AZ,1046BH
F11,1046BL,1046BS
F11,1046BV,1046BV
F11,1046BZ,1046CC
F11,1046CG,1046CK
F11,1046PP,1046PP
F11,1047AC,1047AG
F11,1047AV,1047AW
F11,1047AZ,1047AZ
F76,1063AA,1063AV
F76,1063AX,1063BK
F76,1063BR,1063CZ
F76,1063EA,1063HD
F76,1063HH,1063JM
F76,1063JP,1063KK
F76,1063KP,1063KR
F76,1063MA,1063MD
F76,1063MG,1063ML
F76,1063SR,1063VZ
F76,1063XA,1063ZZ
F77,1063BK,1063BP
F77,1063JN,1063JN
F77,1063KS,1063LZ
F77,1063ME,1063ME
F77,1063NA,1063PG
F77,1063PJ,1063PW
F77,1064AA,1064DM
F77,1064EA,1064GS
F77,1064GV,1064LZ
F77,1064MB,1064ML
F77,1064MN,1064MV
F77,1064NA,1064NR
F77,1064PA,1064PC
F77,1064PE,1064PJ
F77,1064PX,1064VZ
F77,1064XB,1064XJ
F77,1064ZB,1064ZB
F77,1064ZD,1064ZD
F77,1064ZG,1064ZZ
F77,1067PJ,1067PJ
F78,1067AA,1067BA
F78,1067BC,1067BJ
F78,1067BL,1067CH
F78,1067CP,1067CP
F78,1067CS,1067CS
F78,1067DB,1067DJ
F78,1067DW,1067EA
F78,1067ED,1067ED
F78,1067EH,1067EH
F78,1067EM,1067EM
F78,1067EP,1067GB
F78,1067GE,1067HN
F78,1067HX,1067JM
F78,1067JP,1067LZ
F78,1067MB,1067MB
F78,1067MD,1067ML
F78,1067MN,1067MN
F78,1067MT,1067MT
F78,1067MX,1067NW
F78,1067PB,1067PR
F78,1067PT,1067PZ
F78,1067RB,1067RC
F78,1067RG,1067RL
F78,1067RV,1067SK
F78,1067TN,1067TN
F78,1067XA,1067ZZ
F79,1063LE,1063LE
F79,1067HP,1067HV
F79,1067MC,1067MC
F79,1067TE,1067TE
F79,1067TP,1067VZ
F79,1067WB,1067WL
F79,1067WN,1067WV
F80,1060LG,1060LJ
F80,1067BB,1067BB
F80,1067MP,1067MP
F80,1067MV,1067MV
F80,1067SL,1067TE
F80,1067TH,1067TM
F80,1067WZ,1067WZ
F80,1068ZX,1068ZX
F81,1068AA,1068GL
F81,1068GR,1068GR
F81,1068GT,1068GZ
F81,1068HP,1068HP
F81,1068HV,1068LA
F81,1068LD,1068ML
F81,1068MN,1068MV
F81,1068MX,1068NR
F81,1068NT,1068PE
F81,1068PH,1068PR
F81,1068RA,1068TD
F81,1068TG,1068TG
F81,1068VM,1068VZ
F81,1068WB,1068WL
F81,1068WN,1068WV
F81,1068WX,1068ZJ
F81,1068ZT,1068ZZ
F82,1069AA,1069AG
F82,1069AJ,1069AJ
F82,1069AL,1069AL
F82,1069AT,1069AT
F82,1069BB,1069BX
F82,1069CL,1069CL
F82,1069CW,1069DA
F82,1069DG,1069DZ
F82,1069EB,1069EB
F82,1069GA,1069GA
F82,1069GV,1069GV
F82,1069GZ,1069GZ
F82,1069HB,1069HB
F82,1069HD,1069HD
F82,1069HK,1069HK
F82,1069HM,1069HR
F82,1069HT,1069HV
F82,1069HX,1069JA
F82,1069JC,1069JC
F82,1069JR,1069JR
F82,1069JT,1069JT
F82,1069KA,1069KB
F82,1069KD,1069KG
F82,1069KJ,1069KJ
F82,1069KS,1069KS
F82,1069KV,1069KW
F82,1069LA,1069LH
F82,1069LK,1069LK
F82,1069LM,1069LM
F82,1069MP,1069MV
F82,1069MX,1069MZ
F82,1069RA,1069RL
F82,1069RN,1069RN
F82,1069RR,1069RV
F82,1069SC,1069SH
F82,1069SR,1069SR
F82,1069SZ,1069SZ
F82,1069TD,1069TD
F82,1069XG,1069ZR
F82,1069ZT,1069ZT
F82,1069ZW,1069ZW
F82,1069ZZ,1069ZZ
F83,1069BZ,1069CG
F83,1069EA,1069EA
F83,1069EC,1069EZ
F83,1069GB,1069GT
F83,1069PC,1069PC
F83,1069RM,1069RM
F83,1069TK,1069TK
F83,1069TM,1069VZ
F83,1069WB,1069WL
F83,1069WN,1069WV
F83,1069WX,1069WZ
