MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Rijksweg A44,1000AA,1011AA,NIEUW VENNEP,NL,ELK,KVB,16,100,68.75,100,44,3x25,8565,50,0,2.8
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AB,1011AB,AMSTERDAM,NL,ELK,KVB,24,100,75,100,33,3x25,15694,37.5,0,2.1
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,33,100,72.73,100,30,3x25,11739,15.15,0,2.1
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,21,100,33.33,100,57,3x25,4557,47.62,0,2.3
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,36.84,100,68,3x25,3231,26.32,0,2.8
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,58,3x25,14012,41.67,0,1.4
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,3570,14.29,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,39,1x25,2562,11.11,0,2.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,92.31,100,62,3x25,9582,38.46,0,2.5
Liander N.V.,Liander N.V. (NW),Liander NW,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,64,3x25,7674,42.86,0,2.7
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,28,100,96.43,100,46,1x25,3637,25,0,1.6
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,95,100,40,1x25,4584,15,0,2.7
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,33,100,93.94,100,42,1x25,6919,27.27,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,SCHIPPERSSTR,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,46,3x25,6434,38.46,0,1.5
