MEETVERANTWOORDELIJKE,NETBEHEERDER,NETGEBIED,STRAATNAAM,POSTCODE_VAN,POSTCODE_TOT,WOONPLAATS,LANDCODE,PRODUCTSOORT,VERBRUIKSSEGMENT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aan,,,,
Liander N.V.,Liander N.V. (NW),Liander NW,Rijksweg A44,1000AA,1011AA,NIEUW VENNEP,NL,ELK,KVB,17,100,64.71,100,29,3x25,8545,23.53,0,2.7
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AB,1011AB,AMSTERDAM,NL,ELK,KVB,25,100,68,100,28,3x25,14592,20,0,2.1
Liander N.V.,Liander N.V. (NW),Liander NW,De Ruyterkade,1011AC,1011AC,AMSTERDAM,NL,ELK,KVB,33,100,69.7,100,30,3x25,11278,12.12,0,2.3
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade,1011AD,1011AD,AMSTERDAM,NL,ELK,KVB,21,100,23.81,100,57,3x25,4270,38.1,0,2.4
Liander N.V.,Liander N.V. (NW),Liander NW,Oosterdokskade AB,1011AE,1011AE,AMSTERDAM,NL,ELK,KVB,19,100,36.84,100,68,3x25,3232,26.32,0,3.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AG,1011AG,AMSTERDAM,NL,ELK,KVB,12,100,91.67,100,58,3x25,24266,41.67,0,1.6
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AH,1011AH,AMSTERDAM,NL,ELK,KVB,21,100,100,100,67,1x25,5106,14.29,0,1.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AJ,1011AJ,AMSTERDAM,NL,ELK,KVB,18,100,94.44,100,39,1x25,9606,11.11,0,2.1
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AK,1011AK,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,54,3x25,9133,23.08,0,2.3
Liander N.V.,Liander N.V. (NW),Liander NW,Houtkopersdwarsstraat,1011AL,1011AM,AMSTERDAM,NL,ELK,KVB,14,100,92.86,100,43,3x25,6587,42.86,0,2.8
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AN,1011AN,AMSTERDAM,NL,ELK,KVB,28,100,96.43,100,32,3x25,2724,14.29,0,2.6
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AP,1011AP,AMSTERDAM,NL,ELK,KVB,20,100,95,100,50,1x35,4997,15,0,3.2
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AR,1011AR,AMSTERDAM,NL,ELK,KVB,33,100,93.94,100,42,1x25,7654,21.21,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,SCHIPPERSSTR,1011AS,1011AS,AMSTERDAM,NL,ELK,KVB,13,100,84.62,100,46,3x25,4144,15.38,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AT,1011AT,AMSTERDAM,NL,ELK,KVB,17,100,100,100,41,3x25,7465,23.53,0,2
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AV,1011AV,AMSTERDAM,NL,ELK,KVB,18,100,88.89,100,50,3x25,4697,16.67,0,1.6
Liander N.V.,Liander N.V. (NW),Liander NW,Prins Hendrikkade,1011AW,1011AW,AMSTERDAM,NL,ELK,KVB,21,100,95.24,100,62,1x25,2775,9.52,0,1.4
Liander N.V.,Liander N.V. (NW),Liander NW,Buiten Bantammerstraat,1011AX,1011AX,AMSTERDAM,NL,ELK,KVB,15,100,86.67,100,53,3x25,4219,6.67,0,3.5
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011AZ,1011AZ,AMSTERDAM,NL,ELK,KVB,14,100,100,100,43,1x35,3593,14.29,0,2.9
Liander N.V.,Liander N.V. (NW),Liander NW,Schipperstraat,1011BA,1011BA,AMSTERDAM,NL,ELK,KVB,10,100,30,100,40,3x25,1077,10,0,3.3
Liander N.V.,Liander N.V. (NW),Liander NW,Schippersstraat,1011BB,1011BC,AMSTERDAM,NL,ELK,KVB,24,100,95.83,100,50,1x35,3917,16.67,0,2.4
Liander N.V.,Liander N.V. (NW),Liander NW,Kalkmarkt,1011BD,1011BD,AMSTERDAM,NL,ELK,KVB,22,100,77.27,100,68,3x25,4296,0,0,2.5
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant AB,1011BE,1011BE,AMSTERDAM,NL,ELK,KVB,10,100,90,100,70,3x25,2379,0,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BG,1011BG,AMSTERDAM,NL,ELK,KVB,17,100,70.59,100,82,3x25,2490,11.76,0,2
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BH,1011BH,AMSTERDAM,NL,ELK,KVB,32,100,93.75,100,59,3x25,2900,15.63,0,2.4
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BJ,1011BJ,AMSTERDAM,NL,ELK,KVB,21,100,90.48,100,48,1x25,6968,23.81,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BK,1011BK,AMSTERDAM,NL,ELK,KVB,16,100,100,100,50,3x25,2690,0,0,2.4
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BL,1011BM,AMSTERDAM,NL,ELK,KVB,23,100,100,100,87,1x25,1895,0,0,1.9
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BN,1011BN,AMSTERDAM,NL,ELK,KVB,21,100,71.43,100,76,3x25,3254,0,0,1.8
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BP,1011BP,AMSTERDAM,NL,ELK,KVB,17,100,88.24,100,76,3x25,3462,5.88,0,2.8
Liander N.V.,Liander N.V. (NW),Liander NW,Binnenkant,1011BR,1011BR,AMSTERDAM,NL,ELK,KVB,15,100,100,100,53,1x25,2907,13.33,0,1.9
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BS,1011BS,AMSTERDAM,NL,ELK,KVB,26,100,76.92,100,62,3x25,2738,7.69,0,1.7
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BT,1011BT,AMSTERDAM,NL,ELK,KVB,31,100,93.55,100,52,3x25,2553,3.23,0,2
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BV,1011BV,AMSTERDAM,NL,ELK,KVB,20,100,70,100,50,3x25,2649,0,0,1.2
Liander N.V.,Liander N.V. (NW),Liander NW,Kromme Waal,1011BW,1011BW,AMSTERDAM,NL,ELK,KVB,33,100,100,100,55,3x25,2360,3.03,0,1.5
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BX,1011BX,AMSTERDAM,NL,ELK,KVB,22,100,100,100,100,1x25,1673,0,0,1
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011BZ,1011BZ,AMSTERDAM,NL,ELK,KVB,28,100,92.86,100,54,1x25,3985,7.14,0,1.9
Liander N.V.,Liander N.V. (NW),Liander NW,Oude Waal,1011CA,1011CA,AMSTERDAM,NL,ELK,KVB,37,100,56.76,100,73,3x25,1780,0,0,2.5
