Postcode,Verbruik,Inkomen
1011,972501,32500
1012,2860818,27800
1013,1226352,29900
1015,1157886,33400
1016,1390670,35600
1017,2491397,42300
1018,1157558,31700
1019,1133713,41800
1021,522956,24100
1022,173965,29900
1023,420130,31400
1024,813860,27500
1025,1153428,29000
1026,90080,48500
1027,93955,41500
1028,94090,50400
1031,518179,26000
1032,682466,24700
1033,1295981,27000
1034,921400,28300
1035,831115,34700
1036,52715,38600
1051,723335,28900
1052,757939,28800
1053,974441,27400
1054,1235768,35400
1055,947601,26200
1056,791374,27600
1057,797897,26800
1058,762629,33400
1059,435388,31700
1060,418198,41700
1061,594150,26400
1062,586220,30100
1063,892596,25700
1064,880046,27300
1065,671015,27300
1066,1063982,36900
1067,1134412,29000
1068,1030439,27500
1069,1089960,28800
1071,2227944,54300
1072,988731,28800
1073,770755,27900
1074,526765,28900
1075,1202964,42900
1076,728441,33800
1077,1610407,63000
1078,1044990,36600
1079,944680,30400
1081,533334,39200
1082,866615,35600
1083,501798,33600
1086,140767,43500
1087,553258,41500
1091,876655,29100
1092,534909,28100
1093,662821,25800
1094,649985,25700
1095,622658,25800
1096,223613,40900
1097,904584,28000
1098,1082365,41400
1102,1073551,23300
1103,838351,26900
1104,590049,24200
1106,1091858,28400
1107,724419,28100
1108,286636,28500
