Postcode,Verbruik,Inkomen
1011,976290,32500
1012,2798615,27800
1013,1167439,29900
1015,1081457,33400
1016,1322888,35600
1017,2400527,42300
1018,1114454,31700
1019,1070756,41800
1021,495332,24100
1022,195207,29900
1023,405699,31400
1024,834751,27500
1025,1086035,29000
1026,90852,48500
1027,95523,41500
1028,90445,50400
1031,499139,26000
1032,678862,24700
1033,1275757,27000
1034,901225,28300
1035,790336,34700
1036,80681,38600
1051,715078,28900
1052,704222,28800
1053,942890,27400
1054,1158934,35400
1055,875022,26200
1056,752826,27600
1057,770787,26800
1058,699953,33400
1059,427890,31700
1060,402767,41700
1061,603524,26400
1062,528567,30100
1063,848167,25700
1064,820667,27300
1065,711423,27300
1066,997824,36900
1067,1091981,29000
1068,995162,27500
1069,1004073,28800
1071,2179847,54300
1072,937702,28800
1073,719889,27900
1074,487280,28900
1075,1146166,42900
1076,709307,33800
1077,1525250,63000
1078,1006553,36600
1079,919282,30400
1081,535370,39200
1082,826955,35600
1083,485380,33600
1086,143577,43500
1087,593206,41500
1091,801224,29100
1092,500846,28100
1093,585294,25800
1094,641009,25700
1095,601808,25800
1096,263757,40900
1097,876984,28000
1098,1050186,41400
1102,1024482,23300
1103,832524,26900
1104,554284,24200
1106,1041991,28400
1107,682716,28100
1108,281895,28500
