Postcode,Verbruik,Inkomen
1011,965419,32500
1012,2848208,27800
1013,1175412,29900
1015,1132959,33400
1016,1365853,35600
1017,2513509,42300
1018,1123476,31700
1019,1142586,41800
1021,511486,24100
1022,179042,29900
1023,432375,31400
1024,819918,27500
1025,1199200,29000
1026,91463,48500
1027,74424,41500
1028,102797,50400
1031,503973,26000
1032,637760,24700
1033,1287020,27000
1034,927322,28300
1035,807489,34700
1036,37466,38600
1051,740593,28900
1052,724773,28800
1053,953689,27400
1054,1219859,35400
1055,926061,26200
1056,790535,27600
1057,802770,26800
1058,746909,33400
1059,443307,31700
1060,433274,41700
1061,525401,26400
1062,553032,30100
1063,877315,25700
1064,881573,27300
1065,681740,27300
1066,1079605,36900
1067,1104916,29000
1068,1061762,27500
1069,1010606,28800
1071,2245493,54300
1072,952332,28800
1073,764632,27900
1074,515153,28900
1075,1180789,42900
1076,725538,33800
1077,1581116,63000
1078,1067579,36600
1079,969946,30400
1081,539167,39200
1082,824924,35600
1083,527018,33600
1086,148296,43500
1087,522435,41500
1091,834978,29100
1092,531976,28100
1093,556788,25800
1094,624457,25700
1095,575863,25800
1096,211516,40900
1097,890966,28000
1098,1077518,41400
1102,1022345,23300
1103,876071,26900
1104,557493,24200
1106,1130861,28400
1107,745424,28100
1108,301854,28500
