Postcode,Verbruik,Inkomen
1011,933394,32500
1012,2862449,27800
1013,1152678,29900
1015,1142837,33400
1016,1405541,35600
1017,2537912,42300
1018,1139314,31700
1019,1157105,41800
1021,499207,24100
1022,167369,29900
1023,431200,31400
1024,824464,27500
1025,1197582,29000
1026,81303,48500
1027,79540,41500
1028,86671,50400
1031,471632,26000
1032,633103,24700
1033,1246184,27000
1034,926585,28300
1035,835274,34700
1036,35189,38600
1051,738663,28900
1052,733185,28800
1053,959690,27400
1054,1213311,35400
1055,918572,26200
1056,811198,27600
1057,813901,26800
1058,735324,33400
1059,439903,31700
1060,438873,41700
1061,508005,26400
1062,556342,30100
1063,896060,25700
1064,913900,27300
1065,694431,27300
1066,1105498,36900
1067,1091455,29000
1068,1050585,27500
1069,1002690,28800
1071,2236995,54300
1072,948448,28800
1073,771387,27900
1074,513390,28900
1075,1213797,42900
1076,695039,33800
1077,1485398,63000
1078,1069967,36600
1079,980006,30400
1081,527512,39200
1082,812360,35600
1083,545941,33600
1086,134568,43500
1087,465742,41500
1091,830891,29100
1092,542146,28100
1093,567744,25800
1094,620683,25700
1095,589634,25800
1096,241947,40900
1097,909323,28000
1098,1115901,41400
1102,1015857,23300
1103,877945,26900
1104,547519,24200
1106,1144876,28400
1107,738685,28100
1108,306382,28500
