Postcode,Verbruik,Inkomen
1011,986242,32500
1012,2783119,27800
1013,1194579,29900
1015,1106572,33400
1016,1344393,35600
1017,2427564,42300
1018,1116524,31700
1019,1097316,41800
1021,509520,24100
1022,189983,29900
1023,408338,31400
1024,806564,27500
1025,1130001,29000
1026,89686,48500
1027,98509,41500
1028,87042,50400
1031,490360,26000
1032,661311,24700
1033,1238478,27000
1034,924020,28300
1035,816768,34700
1036,60564,38600
1051,725260,28900
1052,714515,28800
1053,940124,27400
1054,1179326,35400
1055,888010,26200
1056,760605,27600
1057,773797,26800
1058,713694,33400
1059,432308,31700
1060,414730,41700
1061,576161,26400
1062,537005,30100
1063,862134,25700
1064,826452,27300
1065,670994,27300
1066,1040730,36900
1067,1110793,29000
1068,1020138,27500
1069,1023443,28800
1071,2173940,54300
1072,929967,28800
1073,734128,27900
1074,499919,28900
1075,1151447,42900
1076,701663,33800
1077,1545222,63000
1078,1017653,36600
1079,915960,30400
1081,527363,39200
1082,821054,35600
1083,486682,33600
1086,141384,43500
1087,558023,41500
1091,832518,29100
1092,521140,28100
1093,584034,25800
1094,630902,25700
1095,592459,25800
1096,225055,40900
1097,882050,28000
1098,1063420,41400
1102,1040669,23300
1103,836050,26900
1104,560871,24200
1106,1056649,28400
1107,700840,28100
1108,279915,28500
