Postcode,Verbruik,Inkomen
1011,980808,32500
1012,2824249,27800
1013,1179836,29900
1015,1051397,33400
1016,1288342,35600
1017,2345433,42300
1018,1061619,31700
1019,1039990,41800
1021,468262,24100
1022,204129,29900
1023,395328,31400
1024,813043,27500
1025,1035847,29000
1026,92932,48500
1027,103217,41500
1028,86625,50400
1031,559637,26000
1032,631289,24700
1033,1258743,27000
1034,863895,28300
1035,774127,34700
1036,82867,38600
1051,695895,28900
1052,686444,28800
1053,947056,27400
1054,1124078,35400
1055,866829,26200
1056,730432,27600
1057,748309,26800
1058,678040,33400
1059,446302,31700
1060,388082,41700
1061,586586,26400
1062,499909,30100
1063,849755,25700
1064,816932,27300
1065,693414,27300
1066,991784,36900
1067,1104342,29000
1068,1004863,27500
1069,996782,28800
1071,2095858,54300
1072,934522,28800
1073,698462,27900
1074,477816,28900
1075,1133973,42900
1076,696508,33800
1077,1494832,63000
1078,983468,36600
1079,889312,30400
1081,514176,39200
1082,830689,35600
1083,468163,33600
1086,148017,43500
1087,591633,41500
1091,772299,29100
1092,487975,28100
1093,549695,25800
1094,635450,25700
1095,639977,25800
1096,323441,40900
1097,838688,28000
1098,1011311,41400
1102,1023895,23300
1103,838988,26900
1104,552532,24200
1106,975861,28400
1107,646222,28100
1108,279492,28500
1109,121539,37500
