Postcode,Verbruik,Inkomen
1011,943017,32500
1012,2857468,27800
1013,1134643,29900
1015,1161794,33400
1016,1382369,35600
1017,2547980,42300
1018,1137186,31700
1019,1160827,41800
1021,508508,24100
1022,178674,29900
1023,432612,31400
1024,813891,27500
1025,1207139,29000
1026,88294,48500
1027,77069,41500
1028,88532,50400
1031,456001,26000
1032,620544,24700
1033,1228354,27000
1034,935548,28300
1035,853966,34700
1036,27589,38600
1051,754632,28900
1052,727433,28800
1053,958300,27400
1054,1260206,35400
1055,921411,26200
1056,794979,27600
1057,803885,26800
1058,716756,33400
1059,406083,31700
1060,430469,41700
1061,493151,26400
1062,561515,30100
1063,883195,25700
1064,880904,27300
1065,684496,27300
1066,1100769,36900
1067,1054831,29000
1068,1045557,27500
1069,960087,28800
1071,2243515,54300
1072,938038,28800
1073,769358,27900
1074,514980,28900
1075,1166402,42900
1076,701730,33800
1077,1483829,63000
1078,1055862,36600
1079,988888,30400
1081,527045,39200
1082,781593,35600
1083,528506,33600
1086,116087,43500
1087,386429,41500
1091,840895,29100
1092,544686,28100
1093,567733,25800
1094,615852,25700
1095,569366,25800
1096,224151,40900
1097,907608,28000
1098,1105198,41400
1102,1008608,23300
1103,870573,26900
1104,542780,24200
1106,1133081,28400
1107,742631,28100
1108,300438,28500
