Postcode,Verbruik,Inkomen
1011,984148,32500
1012,2834718,27800
1013,1188479,29900
1015,1062695,33400
1016,1318661,35600
1017,2361822,42300
1018,1109233,31700
1019,1055981,41800
1021,476947,24100
1022,192726,29900
1023,400332,31400
1024,817768,27500
1025,1056835,29000
1026,88708,48500
1027,93656,41500
1028,86468,50400
1031,572242,26000
1032,649917,24700
1033,1261537,27000
1034,883005,28300
1035,783244,34700
1036,80844,38600
1051,702709,28900
1052,695405,28800
1053,948203,27400
1054,1135974,35400
1055,861426,26200
1056,741026,27600
1057,761914,26800
1058,694897,33400
1059,426144,31700
1060,391395,41700
1061,597233,26400
1062,503467,30100
1063,831929,25700
1064,822597,27300
1065,693576,27300
1066,1000160,36900
1067,1093245,29000
1068,998854,27500
1069,990314,28800
1071,2150552,54300
1072,952347,28800
1073,698553,27900
1074,476856,28900
1075,1112819,42900
1076,702033,33800
1077,1514567,63000
1078,996208,36600
1079,903365,30400
1081,527969,39200
1082,815184,35600
1083,476103,33600
1086,144078,43500
1087,604917,41500
1091,786425,29100
1092,492789,28100
1093,563044,25800
1094,654327,25700
1095,632269,25800
1096,327661,40900
1097,858304,28000
1098,1028851,41400
1102,1049447,23300
1103,840842,26900
1104,547003,24200
1106,1015102,28400
1107,667132,28100
1108,276814,28500
